NMEA message,PGHP time stamp
"!BSVDM,1,1,,A,B3@nhbh008>L2W815GSQ3woUoP06,0*13","$PGHP,1,2018,11,19,12,17,47,493,219,,2190047,1,*1B"
"!BSVDM,1,1,,B,B3@nhbh008>L2W`15GkQ3wo5oP06,0*10","$PGHP,1,2018,11,19,12,20,46,931,219,,2190047,1,*1B"
"!BSVDM,1,1,,B,H3@nhbhp4tlT000000000000000,2*31","$PGHP,1,2018,11,19,12,22,4,622,219,,2190047,1,*22"
"!BSVDM,1,1,,A,B3@nhbh008>L2a815GwQ3wp5oP06,0*7E","$PGHP,1,2018,11,19,12,23,48,865,219,,2190047,1,*16"
"!BSVDM,1,1,,A,H3@nhblUC=D4gUTH@4jkom000000,0*0E","$PGHP,1,2018,11,19,12,28,14,481,219,,2190047,1,*12"
"!BSVDM,1,1,,A,B3@nhbh008>L2R815G?Q3wo5oP06,0*1A","$PGHP,1,2018,11,19,12,29,46,977,219,,2190047,1,*10"
"!BSVDM,1,1,,B,H3@nhbhp4tlT000000000000000,2*31","$PGHP,1,2018,11,19,12,34,2,851,219,,2190047,1,*29"
"!BSVDM,1,1,,A,B3@nhbh008>L2S815GSQ3woUoP06,0*17","$PGHP,1,2018,11,19,12,35,47,542,219,,2190047,1,*16"
"!BSVDM,1,1,,B,B3@nhbh008>L2``15G7Q3wpUoP06,0*04","$PGHP,1,2018,11,19,12,38,49,578,219,,2190047,1,*1C"
"!BSVDM,1,1,,A,H3@nhbhp4tlT000000000000000,2*32","$PGHP,1,2018,11,19,12,40,3,272,219,,2190047,1,*20"
"!BSVDM,1,1,,A,B3@nhbh008>L2U`15H7Q3wp5oP06,0*5D","$PGHP,1,2018,11,19,12,41,48,135,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,B3@nhbh008>L2``15GKQ3wpUoP06,0*78","$PGHP,1,2018,11,19,12,44,49,515,219,,2190047,1,*1C"
"!BSVDM,1,1,,B,B3@nhbh008>L2d815GKQ3wo5oP06,0*5B","$PGHP,1,2018,11,19,12,50,46,877,219,,2190047,1,*1F"
"!BSVDM,1,1,,A,H3@nhbhp4tlT000000000000000,2*32","$PGHP,1,2018,11,19,12,52,3,129,219,,2190047,1,*2E"
"!BSVDM,1,1,,A,B3@nhbh008>L2V`15H7Q3wo5oP06,0*41","$PGHP,1,2018,11,19,12,53,46,837,219,,2190047,1,*18"
